YYY,YYYY
000,2000
001,2001
002,2002
003,2003
004,2004
005,2005
006,2006
007,2007
008,2008
009,2009
010,2010
011,2011
012,2012
013,2013
014,2014
015,2015
016,2016
017,2017
018,2018
019,2019
020,2020
021,2021
022,2022
023,2023
024,2024
025,2025
026,2026
027,2027
028,2028
029,2029
030,2030
031,2031
032,2032
033,2033
034,2034
035,2035
036,2036
037,2037
038,2038
039,2039
040,2040
041,2041
042,2042
043,2043
044,2044
045,2045
046,2046
047,2047
048,2048
049,2049
050,2050
051,2051
052,2052
053,2053
054,2054
055,2055
056,2056
057,2057
058,2058
059,2059
060,2060
061,2061
062,2062
063,2063
064,2064
065,2065
066,2066
067,2067
068,2068
069,2069
070,2070
071,2071
072,2072
073,2073
074,2074
075,2075
076,2076
077,2077
078,2078
079,2079
080,2080
081,2081
082,2082
083,2083
084,2084
085,2085
086,2086
087,2087
088,2088
089,2089
090,2090
091,2091
092,2092
093,2093
094,2094
095,2095
096,2096
097,2097
098,2098
099,2099
100,2100
101,2101
102,2102
103,2103
104,2104
105,2105
106,2106
107,2107
108,2108
109,2109
110,2110
111,2111
112,2112
113,2113
114,2114
115,2115
116,2116
117,2117
118,2118
119,2119
120,2120
121,2121
122,2122
123,2123
124,2124
125,2125
126,2126
127,2127
128,2128
129,2129
130,2130
131,2131
132,2132
133,2133
134,2134
135,2135
136,2136
137,2137
138,2138
139,2139
140,2140
141,2141
142,2142
143,2143
144,2144
145,2145
146,2146
147,2147
148,2148
149,2149
150,2150
151,2151
152,2152
153,2153
154,2154
155,2155
156,2156
157,2157
158,2158
159,2159
160,2160
161,2161
162,2162
163,2163
164,2164
165,2165
166,2166
167,2167
168,2168
169,2169
170,2170
171,2171
172,2172
173,2173
174,2174
175,2175
176,2176
177,2177
178,2178
179,2179
180,2180
181,2181
182,2182
183,2183
184,2184
185,2185
186,2186
187,2187
188,2188
189,2189
190,2190
191,2191
192,2192
193,2193
194,2194
195,2195
196,2196
197,2197
198,2198
199,2199
200,2200
201,2201
202,2202
203,2203
204,2204
205,2205
206,2206
207,2207
208,2208
209,2209
210,2210
211,2211
212,2212
213,2213
214,2214
215,2215
216,2216
217,2217
218,2218
219,2219
220,2220
221,2221
222,2222
223,2223
224,2224
225,2225
226,2226
227,2227
228,2228
229,2229
230,2230
231,2231
232,2232
233,2233
234,2234
235,2235
236,2236
237,2237
238,2238
239,2239
240,2240
241,2241
242,2242
243,2243
244,2244
245,2245
246,2246
247,2247
248,2248
249,2249
250,2250
251,2251
252,2252
253,2253
254,2254
255,2255
256,2256
257,2257
258,2258
259,2259
260,2260
261,2261
262,2262
263,2263
264,2264
265,2265
266,2266
267,2267
268,2268
269,2269
270,2270
271,2271
272,2272
273,2273
274,2274
275,2275
276,2276
277,2277
278,2278
279,2279
280,2280
281,2281
282,2282
283,2283
284,2284
285,2285
286,2286
287,2287
288,2288
289,2289
290,2290
291,2291
292,2292
293,2293
294,2294
295,2295
296,2296
297,2297
298,2298
299,2299
300,2300
301,2301
302,2302
303,2303
304,2304
305,2305
306,2306
307,2307
308,2308
309,2309
310,2310
311,2311
312,2312
313,2313
314,2314
315,2315
316,2316
317,2317
318,2318
319,2319
320,2320
321,2321
322,2322
323,2323
324,2324
325,2325
326,2326
327,2327
328,2328
329,2329
330,2330
331,2331
332,2332
333,2333
334,2334
335,2335
336,2336
337,2337
338,2338
339,2339
340,2340
341,2341
342,2342
343,2343
344,2344
345,2345
346,2346
