YY,YYYY_0-3,YYYY_4,YYYY_5-8,YYYY_9
00,1900,2000,2000,2000
01,1901,2001,2001,2001
02,1902,2002,2002,2002
03,1903,2003,2003,2003
04,1904,2004,2004,2004
05,1905,2005,2005,2005
06,1906,2006,2006,2006
07,1907,2007,2007,2007
08,1908,2008,2008,2008
09,1909,2009,2009,2009
10,1910,2010,2010,2010
11,1911,2011,2011,2011
12,1912,2012,2012,2012
13,1913,2013,2013,2013
14,1914,2014,2014,2014
15,1915,2015,2015,2015
16,1916,2016,2016,2016
17,1917,2017,2017,2017
18,1918,2018,2018,2018
19,1919,2019,2019,2019
20,1920,2020,2020,2020
21,1921,2021,2021,2021
22,1922,2022,2022,2022
23,1923,2023,2023,2023
24,1924,2024,2024,2024
25,1925,2025,2025,2025
26,1926,2026,2026,2026
27,1927,2027,2027,2027
28,1928,2028,2028,2028
29,1929,2029,2029,2029
30,1930,2030,2030,2030
31,1931,2031,2031,2031
32,1932,2032,2032,2032
33,1933,2033,2033,2033
34,1934,2034,2034,2034
35,1935,2035,2035,2035
36,1936,2036,2036,2036
37,1937,1937,2037,1937
38,1938,1938,2038,1938
39,1939,1939,2039,1939
40,1940,1940,2040,1940
41,1941,1941,2041,1941
42,1942,1942,2042,1942
43,1943,1943,2043,1943
44,1944,1944,2044,1944
45,1945,1945,2045,1945
46,1946,1946,2046,1946
47,1947,1947,2047,1947
48,1948,1948,2048,1948
49,1949,1949,2049,1949
50,1950,1950,2050,1950
51,1951,1951,2051,1951
52,1952,1952,2052,1952
53,1953,1953,2053,1953
54,1954,1954,2054,1954
55,1955,1955,2055,1955
56,1956,1956,2056,1956
57,1957,1957,2057,1957
58,1958,1958,1858,1958
59,1959,1959,1859,1959
60,1960,1960,1860,1960
61,1961,1961,1861,1961
62,1962,1962,1862,1962
63,1963,1963,1863,1963
64,1964,1964,1864,1964
65,1965,1965,1865,1965
66,1966,1966,1866,1966
67,1967,1967,1867,1967
68,1968,1968,1868,1968
69,1969,1969,1869,1969
70,1970,1970,1870,1970
71,1971,1971,1871,1971
72,1972,1972,1872,1972
73,1973,1973,1873,1973
74,1974,1974,1874,1974
75,1975,1975,1875,1975
76,1976,1976,1876,1976
77,1977,1977,1877,1977
78,1978,1978,1878,1978
79,1979,1979,1879,1979
80,1980,1980,1880,1980
81,1981,1981,1881,1981
82,1982,1982,1882,1982
83,1983,1983,1883,1983
84,1984,1984,1884,1984
85,1985,1985,1885,1985
86,1986,1986,1886,1986
87,1987,1987,1887,1987
88,1988,1988,1888,1988
89,1989,1989,1889,1989
90,1990,1990,1890,1990
91,1991,1991,1891,1991
92,1992,1992,1892,1992
93,1993,1993,1893,1993
94,1994,1994,1894,1994
95,1995,1995,1895,1995
96,1996,1996,1896,1996
97,1997,1997,1897,1997
98,1998,1998,1898,1998
99,1999,1999,1899,1999
TEST,TEST,TEST,TEST,TEST
