COG,NCC_COM_COMER,NCCENR_COM_COMER,LIBELLE_COM_COMER,COMER,NCC_COMER,NCCENR_COMER,LIBELLE_COMER
97501,MIQUELON LANGLADE,Miquelon-Langlade,Miquelon-Langlade,975,SAINT PIERRE ET MIQUELON,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon
97502,SAINT PIERRE,Saint-Pierre,Saint-Pierre,975,SAINT PIERRE ET MIQUELON,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon
97701,SAINT BARTHELEMY,Saint-Barthélemy,Saint-Barthélemy,977,SAINT BARTHELEMY,Saint-Barthélemy,Saint-Barthélemy
97801,SAINT MARTIN,Saint-Martin,Saint-Martin,978,SAINT MARTIN,Saint-Martin,Saint-Martin
98411,ILES SAINT PAUL ET AMSTERDAM,Îles Saint-Paul et Amsterdam,Îles Saint-Paul et Amsterdam,984,TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES,Terres australes et antarctiques françaises,Terres australes et antarctiques françaises
98412,ARCHIPEL DES KERGUELEN,Archipel des Kerguelen,Archipel des Kerguelen,984,TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES,Terres australes et antarctiques françaises,Terres australes et antarctiques françaises
98413,ARCHIPEL DES CROZET,Archipel des Crozet,Archipel des Crozet,984,TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES,Terres australes et antarctiques françaises,Terres australes et antarctiques françaises
98414,TERRE ADELIE,Terre-Adélie,Terre-Adélie,984,TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES,Terres australes et antarctiques françaises,Terres australes et antarctiques françaises
98415,ILES EPARSES DE L OCEAN INDIEN,Îles Éparses de l'océan Indien,Îles Éparses de l'océan Indien,984,TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES,Terres australes et antarctiques françaises,Terres australes et antarctiques françaises
98611,ALO,Alo,Alo,986,WALLIS ET FUTUNA,Wallis-et-Futuna,Wallis-et-Futuna
98612,SIGAVE,Sigave,Sigave,986,WALLIS ET FUTUNA,Wallis-et-Futuna,Wallis-et-Futuna
98613,UVEA,Uvea,Uvea,986,WALLIS ET FUTUNA,Wallis-et-Futuna,Wallis-et-Futuna
98711,ANAA,Anaa,Anaa,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98712,ARUE,Arue,Arue,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98713,ARUTUA,Arutua,Arutua,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98714,BORA BORA,Bora-Bora,Bora-Bora,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98715,FAAA,Faaa,Faaa,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98716,FAKARAVA,Fakarava,Fakarava,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98717,FANGATAU,Fangatau,Fangatau,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98718,FATU HIVA,Fatu-Hiva,Fatu-Hiva,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98719,GAMBIER,Gambier,Gambier,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98720,HAO,Hao,Hao,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98721,HIKUERU,Hikueru,Hikueru,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98722,HITIAA O TE RA,Hitiaa O Te Ra,Hitiaa O Te Ra,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98723,HIVA OA,Hiva-Oa,Hiva-Oa,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98724,HUAHINE,Huahine,Huahine,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98725,MAHINA,Mahina,Mahina,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
98726,MAKEMO,Makemo,Makemo,987,POLYNESIE FRANCAISE,Polynésie française,Polynésie française
